Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,OTI-DC01-Leaf1,Ethernet55/1,192.168.11.1/31,spine,OTI-DC01-Spine1,Ethernet1/1,192.168.11.0/31
l3leaf,OTI-DC01-Leaf1,Ethernet56/1,192.168.11.3/31,spine,OTI-DC01-Spine2,Ethernet1/1,192.168.11.2/31
l3leaf,OTI-DC01-Leaf2,Ethernet55/1,192.168.11.5/31,spine,OTI-DC01-Spine1,Ethernet2/1,192.168.11.4/31
l3leaf,OTI-DC01-Leaf2,Ethernet56/1,192.168.11.7/31,spine,OTI-DC01-Spine2,Ethernet2/1,192.168.11.6/31
l3leaf,OTI-DC01-Leaf3,Ethernet55/1,192.168.11.9/31,spine,OTI-DC01-Spine1,Ethernet3/1,192.168.11.8/31
l3leaf,OTI-DC01-Leaf3,Ethernet56/1,192.168.11.11/31,spine,OTI-DC01-Spine2,Ethernet3/1,192.168.11.10/31
l3leaf,OTI-DC01-Leaf4,Ethernet55/1,192.168.11.13/31,spine,OTI-DC01-Spine1,Ethernet4/1,192.168.11.12/31
l3leaf,OTI-DC01-Leaf4,Ethernet56/1,192.168.11.15/31,spine,OTI-DC01-Spine2,Ethernet4/1,192.168.11.14/31
l3leaf,OTI-DC01-Leaf5A,Ethernet55/1,192.168.11.17/31,spine,OTI-DC01-Spine1,Ethernet5/1,192.168.11.16/31
l3leaf,OTI-DC01-Leaf5A,Ethernet56/1,192.168.11.19/31,spine,OTI-DC01-Spine2,Ethernet5/1,192.168.11.18/31
l3leaf,OTI-DC01-Leaf5B,Ethernet55/1,192.168.11.21/31,spine,OTI-DC01-Spine1,Ethernet6/1,192.168.11.20/31
l3leaf,OTI-DC01-Leaf5B,Ethernet56/1,192.168.11.23/31,spine,OTI-DC01-Spine2,Ethernet6/1,192.168.11.22/31
